transit_id,pl_period,pl_transit_duration,pl_transit_depth,pl_radius,pl_eq_temp,pl_insolation_flux,st_eff_temp,st_radius,st_logg
K07810.01,308.255238,11.959,637.1,18.98,576.0,26.05,4852.0,7.797,2.896
K03915.01,2.189090653,5.2094,1027.1,23.25,1185.0,466.32,5401.0,0.777,4.593
K03686.01,3.351573993,2.8758,54546.0,24.15,1282.0,638.3,5984.0,1.033,4.408
K03691.01,4.532416322,3.2864,34953.0,62.25,1328.0,735.27,6306.0,1.281,4.283
K03693.01,4.032760214,2.7194,10803.4,378.61,2582.0,10499.43,4969.0,9.433,2.899
K03694.01,3.723552982,3.5632,40143.0,18.83,1176.0,452.71,6063.0,0.89,4.51
K03768.01,11.35501209,14.557,19675.0,8.0,534.0,19.29,4594.0,0.567,4.679
K03848.01,1.847892736,1.8904,323.3,1.51,1374.0,843.8,5763.0,0.842,4.557
K03919.01,19.37070781,2.2466,653.2,108.54,1180.0,458.92,5321.0,4.335,3.416
K03776.01,3.796488133,11.0659,3007.6,40.83,1233.0,547.94,6137.0,1.018,4.46
K03852.01,1.233076007,12.506,1392.4,31.39,1513.0,1237.97,5602.0,0.817,4.571
K03853.01,21.5135234,77.983,1583.8,534.47,1006.0,242.54,5088.0,3.318,3.508
K00435.04,3.93276627,2.9403,234.9,1.5,1140.0,399.84,5688.0,0.971,4.415
K03779.01,6.195861785,2.6078,3509.8,215.89,883.0,143.74,5608.0,0.813,4.573
K03860.01,2.178154774,3.5302,662.6,19.46,1180.0,457.16,5515.0,0.712,4.624
K03786.01,0.97430309,2.1088,34976.0,37.62,1643.0,1728.18,5688.0,0.786,4.583
K03710.01,4.309067482,2.21,23647.0,101.41,882.0,142.6,4897.0,0.789,4.526
K03636.01,2.446736567,5.0201,415859.0,71.52,1351.0,788.17,5780.0,1.0,4.438
K03638.01,4.350460215,2.5276,50424.0,533.08,1472.0,1107.34,6585.0,1.416,4.208
K03794.01,0.65355361,1.63,4595.9,22.95,1437.0,1004.07,4550.0,0.66,4.622
K07806.01,0.566793534,4.714,92.4,122.64,14667.0,10947554.55,3420.0,138.056,0.269
K03720.01,213.3990406,6.5043,13929.5,35.2,468.0,11.32,6960.0,1.83,4.069
K03721.01,6.40802979,2.9288,7784.1,51.44,1157.0,424.01,6261.0,1.194,4.293
K03798.01,2.991885335,7.4319,1356.9,3.94,1209.0,505.77,5750.0,0.839,4.464
K03799.01,1.327471395,5.2334,5673.8,7.08,1395.0,892.4,5232.0,0.777,4.519
K03646.01,14.323889947,4.83729,69071.6,45.93,720.0,63.62,5853.0,0.895,4.529
K01922.03,105.6552651,9.39,1366.9,4.22,407.0,6.51,5741.0,1.136,4.331
K03648.01,4.029803201,4.4301,191073.0,47.58,1233.0,545.64,6024.0,1.078,4.385
K02004.02,3.18899015,2.722,66.2,0.98,1309.0,693.65,5700.0,1.176,4.327
K02039.02,0.762132307,1.22,63.7,0.75,1872.0,2913.14,5594.0,0.934,4.489
K03881.01,0.84112187,2.0431,75070.0,39.34,1514.0,1240.91,5048.0,0.707,4.571
K03653.01,2.617284592,9.5545,231450.0,162.67,2013.0,3885.11,5510.0,2.649,3.641
K02078.02,161.515617,6.548,2215.3,2.88,211.0,0.47,4243.0,0.641,4.637
K03885.01,1.870990236,1.8432,642.6,26.1,1668.0,1824.38,6384.0,1.086,4.419
K03656.01,3.01551943,3.1713,159584.0,155.81,1837.0,2692.16,5299.0,2.761,3.672
K03658.01,2.252417903,1.9767,32296.0,27.09,782.0,88.43,3979.0,0.544,4.699
K02004.03,1.72110057,1.922,29.7,0.7,1607.0,1575.2,5700.0,1.176,4.327
K03735.01,8.096939227,2.8833,142891.0,68.48,1194.0,481.48,6572.0,1.418,4.208
K03812.01,1.78526527,6.2233,1733.1,41.19,1815.0,2563.99,6505.0,1.228,4.342
K03890.01,152.8255989,22.688,2173.5,34.85,734.0,68.47,4991.0,7.506,2.933
K03662.01,14.180228311,4.5344,172737.0,62.41,873.0,137.11,6289.0,1.142,4.33
K03742.01,1.412524016,5.74859,175776.0,68.92,1978.0,3627.17,6690.0,1.174,4.375
K02112.01,4.15713766,1.808,77.0,1.17,1401.0,908.82,6470.0,1.324,4.301
K03967.01,12.4260454,27.7691,582.1,2.64,706.0,58.88,5645.0,0.817,4.569
K03967.02,12.4260002,30.1966,468.6,2.39,706.0,58.88,5645.0,0.817,4.569
K01742.01,4.70847097,6.0503,32622.1,19.58,1202.0,493.0,6214.0,1.061,4.391
K02362.01,2.237180102,1.4734,493.8,1.75,1134.0,390.02,5080.0,0.793,4.538
K02391.01,0.93374232,6.552,351.4,18.29,1638.0,1706.25,5553.0,0.806,4.577
K07838.01,0.572513875,2.353,49.3,0.52,1779.0,2365.45,5171.0,0.76,4.576
