transit_id,pl_period,pl_transit_duration,pl_radius,st_eff_temp,st_radius,ra,dec,source,isPlanet
K01908.02,24.0884178,3.952,1.16,4213.0,0.598,292.28607,40.913589,Kepler,1
K01979.01,2.714078374,1.3115,1.38,5815.0,0.992,289.04221,42.882488,Kepler,1
K02060.01,2.800111267,1.0237,2.13,4786.0,0.704,291.22433,45.778091,Kepler,1
K01986.01,148.4601819,5.499,3.61,5159.0,0.821,298.97217,44.132381,Kepler,1
K01988.01,0.934885365,1.4083,3.21,4777.0,1.795,298.3266,45.31551,Kepler,1
K02051.01,25.7626846,6.908,2.66,5739.0,1.069,285.79947,42.811779,Kepler,1
K02051.02,11.0317836,4.753,1.45,5739.0,1.069,285.79947,42.811779,Kepler,1
K01851.01,4.469754641,1.813,2.26,5988.0,0.934,289.2489,47.650101,Kepler,1
K01992.01,12.7983174,6.401,2.88,5592.0,1.451,289.19958,49.305721,Kepler,1
K02058.01,1.52373073,1.4796,1.26,3746.0,0.51,287.50116,47.469269,Kepler,1
K01923.01,7.23400381,2.165,1.78,5411.0,0.85,283.46936,40.13261,Kepler,1
K02002.01,14.37504582,3.208,2.05,5931.0,1.053,296.75574,46.998291,Kepler,1
K02064.01,6.31219171,4.9377,2.17,6322.0,1.075,292.13525,37.889622,Kepler,1
K01860.01,6.31943553,3.3422,2.71,5670.0,1.022,291.55695,39.227291,Kepler,1
K01860.02,12.20951755,4.1808,2.61,5670.0,1.022,291.55695,39.227291,Kepler,1
K01860.03,3.07644709,2.6326,1.61,5670.0,1.022,291.55695,39.227291,Kepler,1
K00196.01,1.855557556,2.35672,10.05,5657.0,0.947,294.51324,45.98164,Kepler,1
K02014.01,2.466070972,1.9559,24.3,5708.0,0.884,296.05042,42.113239,Kepler,0
K01871.01,92.7297248,6.83,2.81,4580.0,0.675,285.25366,46.582191,Kepler,1
K01937.01,1.411230023,1.4325,1.71,4575.0,0.737,283.71753,47.204449,Kepler,1
K02019.01,14.08826442,4.1847,2.66,5853.0,0.895,297.45215,41.558128,Kepler,1
K00197.01,17.276296682,3.94738,7.31,4941.0,0.738,290.83313,38.184349,Kepler,1
K01874.01,18.6848377,3.7965,1.93,4156.0,0.545,299.26804,45.227428,Kepler,1
K01874.02,7.41634701,2.1362,1.24,4156.0,0.545,299.26804,45.227428,Kepler,1
K00211.01,124.03589939,4.8472,11.13,5822.0,1.28,287.97031,47.972099,Kepler,1
K01941.01,1.194812329,1.3777,1.36,6198.0,0.97,298.21765,40.341019,Kepler,0
K02024.01,46.8776724,10.041,2.62,5504.0,0.993,286.02518,39.630932,Kepler,1
K01948.01,26.635216,5.949,27.64,5215.0,0.882,295.849,46.18129,Kepler,0
K01815.01,3.126861192,1.1926,5.12,4854.0,1.749,281.45718,46.746471,Kepler,1
K00212.01,5.69590202,3.5661,6.61,6106.0,0.94,296.1398,41.60318,Kepler,1
K01885.01,5.65378163,1.9483,1.82,5988.0,0.934,296.75415,49.20874,Kepler,1
K00239.02,3.62275506,2.7868,1.62,5794.0,1.216,297.20154,41.730209,Kepler,1
K02174.01,6.69332825,2.311,2.44,4245.0,0.637,300.24222,44.141399,Kepler,1
K02174.02,33.1362861,4.163,2.05,4245.0,0.637,300.24222,44.141399,Kepler,1
K02174.03,7.72513619,2.042,1.71,4245.0,0.637,300.24222,44.141399,Kepler,1
K02106.01,9.75374033,2.348,1.87,5806.0,0.899,293.90057,50.427052,Kepler,1
K02177.01,62.8917493,6.831,2.5,5052.0,0.855,286.36746,48.423931,Kepler,1
K00231.01,119.8401019,3.6796,26.96,4602.0,0.675,287.40244,39.190731,Kepler,0
K02347.01,0.588001053,1.1451,0.99,3814.0,0.57,292.77338,44.178131,Kepler,1
K02350.01,1.078389713,1.3394,1.98,5325.0,0.985,290.27969,41.515049,Kepler,1
K02266.01,1.003931703,1.4361,1.6,4949.0,0.741,298.30273,47.694031,Kepler,1
K02117.01,13.36019864,2.788,1.84,4500.0,0.688,286.47934,39.269958,Kepler,1
K02189.01,33.35859852,2.286,4.44,5009.0,0.799,298.07474,40.94899,Kepler,1
K02200.01,3.17059731,1.6686,1.69,5431.0,0.843,285.89923,48.307301,Kepler,1
K02280.01,26.0203329,4.965,4.53,5624.0,1.244,290.47452,37.766602,Kepler,1
K02204.01,10.86062378,2.2874,2.09,6455.0,1.496,291.54941,44.52729,Kepler,1
K02205.01,24.08632177,2.236,2.78,4973.0,0.768,281.69397,46.946449,Kepler,1
K02131.01,14.36270451,4.564,2.31,6643.0,1.216,296.96881,47.751492,Kepler,1
